user_id,products,reviews
2460555,27,14
2473400,27,18
2478037,38,16
2529447,115,19
2575802,86,30
2586762,102,19
2648943,16,12
2695721,74,10
2706628,84,40
2724226,142,26
2744874,133,34
2747011,54,13
2782171,146,63
2810154,75,10
2826382,57,10
2843964,48,12
2930522,137,10
2946121,37,13
3004075,167,31
3064715,48,18
3123282,97,58
3138052,68,14
3141589,79,32
3180082,98,14
3203136,72,10
3226912,98,20
3271111,47,14
3346922,78,18
3381903,142,10
3403303,66,22
3484979,54,18
3587126,22,10
3620915,76,33
3749175,138,16
3775426,36,12
3782748,67,14
3852821,39,13
3902881,54,14
3929309,86,11
3969446,49,17
4025276,374,28
4104552,153,11
4268755,33,10
4484231,99,12
4502480,79,10
6375610,199,39
7403595,113,51
11041584,710,55
1367911,432,60
2798647,802,48
3594325,590,42
6162908,323,171
6256351,1662,48
6612841,3911,423
6798192,413,47
6897451,3523,337
7045557,1050,77
7551361,822,134
8055539,4132,88
8065008,48,24
8418606,1471,91
8528647,691,20
10142296,852,32
10287553,9877,127
10473255,598,56
10585991,237,37
10794453,117,24
11033298,1213,352
11045809,360,111
11156953,870,83
11186520,400,49
11216369,244,33
11263036,1547,140
11350990,370,189
11369396,1871,66
11392968,199,36
11405433,501,50
11437791,55,20
11443141,1598,35
11477365,587,53
11551788,547,38
11588541,78,26
11594012,921,292
11642824,769,66
11665229,192,51
11706481,2894,49
11718127,55,23
11868819,263,27
11873267,3952,88
12030137,1185,130
12050343,268,35
12067244,57,18
12632691,324,29
12800217,149,69
13006259,383,83
